id,'duration',prot_type,service,flag,'src_bytes','dst_bytes','land','wrong_fragment','urgent','logged_in','num_compromised','root_shell','su_attempted','num_root','num_file_creations','num_shells','num_access_files','num_outbound_cmds','is_host_login','is_guest_login','count','srv_count','serror_rate','srv_serror_rate','rerror_rate','srv_rerror_rate','same_srv_rate','srv_diff_host_rate','dst_host_count','dst_host_srv_count','dst_host_same_srv_rate','dst_host_diff_srv_rate','dst_host_same_src_port_rate','dst_host_srv_diff_host_rate','dst_host_serror_rate','dst_host_srv_serror_rate',class
2001,1,0,0,0,1186,370,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,1.0,2,158,1.0,0.0,0.5,0.02,0.0,0.0,0
2002,0,0,0,0,1723,330,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,1.0,16,12,0.75,0.12,0.06,0.0,0.0,0.0,0
2003,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,16,1.0,1.0,0.0,0.0,0.14,0.0,255,19,0.07,0.08,0.0,0.0,1.0,1.0,1
2004,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,20,1.0,1.0,0.0,0.0,0.16,0.0,255,1,0.0,0.07,0.0,0.0,1.0,1.0,1
2005,4,0,1,2,6,18056,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77,1,0.0,0.0,0.94,1.0,0.01,0.0,202,1,0.0,0.44,0.0,0.0,0.0,0.0,1
2006,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,2,1.0,1.0,0.0,0.0,0.01,0.0,255,2,0.01,0.08,0.0,0.0,1.0,1.0,1
2007,0,0,3,0,220,3207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,4,255,1.0,0.0,0.25,0.02,0.0,0.0,0
2008,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,7,0.0,0.0,1.0,1.0,0.03,0.0,255,7,0.03,0.07,0.0,0.0,0.0,0.0,1
2009,0,0,3,0,207,3452,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,13,0.0,0.0,0.0,0.0,1.0,0.15,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0
2010,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,0.98,1.0,0.0,0.0,0.02,0.0,255,7,0.03,0.06,0.0,0.0,1.0,1.0,1
2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.5,0.0,0.0,1.0,0.0,73,126,0.26,0.05,0.03,0.02,0.01,0.01,0
2012,1714,1,4,0,146,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.5,0.0,255,2,0.01,0.66,0.9,0.0,0.0,0.0,0
2013,0,0,3,0,54540,8314,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,13,13,1.0,0.0,0.08,0.0,0.0,0.0,1
2014,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,14,1.0,1.0,0.0,0.0,0.05,0.0,255,8,0.03,0.07,0.0,0.0,1.0,1.0,1
2015,0,1,6,0,43,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,176,0.0,0.0,0.0,0.0,1.0,0.01,255,235,0.92,0.01,0.0,0.0,0.0,0.0,0
2016,0,0,0,0,1267,330,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,175,136,0.78,0.02,0.01,0.0,0.0,0.0,0
2017,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,19,1.0,1.0,0.0,0.0,0.06,0.0,255,1,0.0,0.07,0.0,0.0,1.0,1.0,1
